RecordID,Measurementtimestamp,VehicleID,FleetID,TruckID,Region,OperationalHours,Mileage,EngineHealth,SensorData,VehicleSpeedSensor,Vibration,EngineLoad,EngineCoolantTemp,IntakeManifoldPressure,EngineRPM,SpeedOBD,IntakeAirTemp,MassAirFlowRate,ThrottlePosManifold,VoltageControlModule,AmbientAirTemp,AccelPedalPosD,EngineOilTemp,SpeedGPS,GPSLongitude,GPSLatitude,GPSBearing,GPSAltitude,TurboBoostAndVcmGauge,TripDistance,LitresPer100kmInst,AccelSsorTotal,CO2InGPerKmInst,TripTimeJourney,MaintenanceFlag
1,2/22/2016 16:01,1102,58,299,1,1023,13647,0.743652496,53.85591748,43,2.178359776,74.75022356,84,99,3797,105,24,30.96905705,5.166054685,12.87779537,33,27.30014013,87,29,-146.1834211,79.45345716,18.37687408,2865,70.16756083,975.1512112,9.537179645,0.160680238,468.1182101,48,0
2,2/22/2016 16:01,1435,23,349,1,9467,150262,0.826119667,33.4660756,40,3.087623234,30.25151456,113,146,958,106,26,111.2659322,97.3083571,13.3234507,44,0.508459457,72,120,-138.9572772,23.60087783,313.1606873,778,13.95636584,422.4919213,20.46866198,8.765124291,307.5330439,214,2
3,2/22/2016 16:01,1860,54,42,4,1238,110479,0.941016687,77.67117779,103,0.861779052,46.99176393,100,191,1144,0,6,89.04727727,0.676021627,14.70243335,5,51.66838012,113,96,-69.37757375,-69.23869873,175.9371951,382,7.839331681,319.6754655,5.594999977,0.526230582,462.3669496,35,0
4,2/22/2016 16:01,1270,80,259,2,5197,103533,0.940581172,7.066475405,2,4.150323114,93.93472003,88,92,1304,65,41,177.1204148,51.90660112,12.69753407,-2,98.42999538,84,50,-4.744254952,-53.20050043,179.4471309,2965,86.99076819,708.3682036,21.2007143,2.832025477,166.6410187,223,0
5,2/22/2016 16:01,1106,65,385,3,3493,28191,0.704372059,56.36626102,90,2.826183143,87.27907195,109,78,2855,101,3,84.75921006,22.00087879,14.71943794,18,50.11340993,98,127,161.6123001,-66.80952136,156.8292541,3777,80.24829991,303.6839712,15.27361007,5.507330802,444.8407968,287,0
6,2/22/2016 16:01,1071,12,492,4,5734,133526,0.618844743,9.966972215,108,4.146107251,94.70244021,114,132,2778,48,9,31.48403449,88.59683923,12.41969349,-17,85.3832579,147,14,164.6988702,-81.54537665,184.0487573,2570,16.25413368,274.1679467,27.44756478,9.390886053,281.8859006,79,0
7,2/22/2016 16:01,1700,24,439,4,1371,103259,0.628710772,17.6850802,12,3.602786557,16.6815363,73,19,2773,84,5,176.9724175,91.01761478,12.61465763,-1,83.92191873,100,37,-130.9468965,54.15588422,32.89152806,2834,13.53461082,761.1524043,8.548347289,2.401599156,395.2526435,8,0
8,2/22/2016 16:01,1020,34,271,2,2073,125282,0.882970793,6.244545429,39,2.20210727,48.21418147,106,106,2409,96,-7,179.6594455,25.50730633,13.83313818,20,99.62001702,117,31,-28.21670953,-82.21560108,328.7545264,454,75.34915741,806.7179993,8.26075373,8.530297982,468.0809106,27,0
9,2/22/2016 16:01,1614,53,47,2,6790,173859,0.964715181,90.16830288,96,3.434764638,71.31065266,116,145,3887,43,7,147.9460014,95.28831584,14.98814561,42,84.49280756,97,61,-63.4883955,37.21128058,255.5145083,1111,65.13974945,13.32230203,21.21106924,7.716992499,122.3257463,182,1
10,2/22/2016 16:01,1121,8,85,4,5518,106781,0.536115337,4.820445877,119,0.393273409,73.28954653,76,193,2828,11,34,120.1275514,70.40758983,12.42665491,14,1.909123285,126,39,-129.9817298,46.57946077,336.1282257,2656,22.14798391,110.6121622,8.573931032,1.72498313,368.1232961,123,1
